taxon	accession	representative	src	dst
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Ascoviridae;g__Toursvirus;s__Diadromus pulchellus toursvirus	Ascoviridae_CU469068_Complete_DpAV4		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Ascoviridae_CU469068_Complete_DpAV4-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Ascoviridae;g__Ascovirus;s__Trichoplusia ni ascovirus 2c	Ascoviridae_DQ517337_Trichoplusia_ni_ascovirus_2c		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Ascoviridae_DQ517337_Trichoplusia_ni_ascovirus_2c-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Ascoviridae;g__Ascovirus;s__Heliothis virescens ascovirus 3a	Ascoviridae_EF133465_Heliothis_virescens_ascovirus_3e		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Ascoviridae_EF133465_Heliothis_virescens_ascovirus_3e-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Ascoviridae;g__Ascovirus;s__Heliothis virescens ascovirus 3a	Ascoviridae_KJ755191_Heliothis_virescens_ascovirus_3f_isolate_LD135790		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Ascoviridae_KJ755191_Heliothis_virescens_ascovirus_3f_isolate_LD135790-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Ascoviridae;g__Ascovirus;s__Spodoptera frugiperda ascovirus 1a	Ascoviridae_NC_008361_Spodoptera_frugiperda_ascovirus_1a		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Ascoviridae_NC_008361_Spodoptera_frugiperda_ascovirus_1a-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;f__Mimiviridae;g__Mimi_clade_IV;s__Mimi_clade_IV unclassified	cPacV_1605		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/cPacV_1605-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Iridovirus;s__Invertebrate iridescent virus 6	Iridoviridae_AF303741_Chilo_iridescent_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AF303741_Chilo_iridescent_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Megalocytivirus;s__Infectious spleen and kidney necrosis virus	Iridoviridae_AF371960_Infectious_spleen_and_kidney_necrosis_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AF371960_Infectious_spleen_and_kidney_necrosis_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Frog virus 3	Iridoviridae_AF389451_Tiger_frog_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AF389451_Tiger_frog_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Megalocytivirus;s__Infectious spleen and kidney necrosis virus	Iridoviridae_AP017456_Red_seabream_iridovirus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AP017456_Red_seabream_iridovirus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Ambystoma tigrinum virus	Iridoviridae_AY150217_Ambystoma_tigrinum_stebbensi_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AY150217_Ambystoma_tigrinum_stebbensi_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Lymphocystivirus;s__Lymphocystis disease virus 2	Iridoviridae_AY380826_Lymphocystis_disease_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AY380826_Lymphocystis_disease_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Singapore grouper iridovirus	Iridoviridae_AY521625_Singapore_grouper_iridovirus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_AY521625_Singapore_grouper_iridovirus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridescent virus 3	Iridoviridae_DQ643392_Aedes_taeniorhynchus_iridescent_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_DQ643392_Aedes_taeniorhynchus_iridescent_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Frog virus 3	Iridoviridae_EU627010_Soft_shelled_turtle_iridovirus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_EU627010_Soft_shelled_turtle_iridovirus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Epizootic haematopoietic necrosis virus	Iridoviridae_FJ433873_Epizootic_haematopoietic_necrosis_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_FJ433873_Epizootic_haematopoietic_necrosis_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Megalocytivirus;s__Infectious spleen and kidney necrosis virus	Iridoviridae_GQ273492_Turbot_reddish_body_iridovirus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_GQ273492_Turbot_reddish_body_iridovirus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridescent virus 9	Iridoviridae_GQ918152_Wiseana_iridescent_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_GQ918152_Wiseana_iridescent_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridovirus 22	Iridoviridae_HF920633_Invertebrate_iridovirus_22		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_HF920633_Invertebrate_iridovirus_22-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridescent virus 22	Iridoviridae_HF920634_Invertebrate_iridescent_virus_22_isolate_IIV22Aberystwyth		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_HF920634_Invertebrate_iridescent_virus_22_isolate_IIV22Aberystwyth-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridovirus 25	Iridoviridae_HF920635_Invertebrate_iridovirus_25		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_HF920635_Invertebrate_iridovirus_25-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Invertebrate iridescent virus 22	Iridoviridae_HF920636_Invertebrate_iridescent_virus_30		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_HF920636_Invertebrate_iridescent_virus_30-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Iridovirus;s__Invertebrate iridescent virus 31	Iridoviridae_HF920637_Armadillidium_vulgare_iridescent		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_HF920637_Armadillidium_vulgare_iridescent-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Epizootic haematopoietic necrosis virus	Iridoviridae_JQ724856_European_sheatfish_virus		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_JQ724856_European_sheatfish_virus-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Ranavirus;s__Common midwife toad virus	Iridoviridae_KF033124_Andrias_davidianus_ranavirus_isolate_2010SX		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_KF033124_Andrias_davidianus_ranavirus_isolate_2010SX-contigs.fa.gz	
d__Viruses;l__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;g__Chloriridovirus;s__Anopheles minimus iridovirus	Iridoviridae_KF938901_UNVERIFIED_Anopheles_minimus_irodovirus_isolate_AMIV		/storage/hdd1/chh/TaxDB/user_supplied/TARA_virus/Individual_Genomes_FINAL_NAMES/Iridoviridae_KF938901_UNVERIFIED_Anopheles_minimus_irodovirus_isolate_AMIV-contigs.fa.gz	
