taxon	accession	representative	src	dst
d__Eukaryota;l__Sar;k__Stramenopiles;p__Stramenopiles;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae;g__Ochromonas;s__Ochromonas sp. CCMP1393	MMETSP0004		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0004.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Stramenopiles;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae;g__Ochromonas;s__Ochromonas sp. CCMP1393	MMETSP0005		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0005.fa.gz	
d__Eukaryota;l__Haptista;k__Haptista;p__Haptophyta;c__Haptophyta;o__Prymnesiales;f__Prymnesiaceae;g__Prymnesium;s__Prymnesium parvum	MMETSP0006		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0006.fa.gz	
d__Eukaryota;l__Haptista;k__Haptista;p__Haptophyta;c__Haptophyta;o__Prymnesiales;f__Prymnesiaceae;g__Prymnesium;s__Prymnesium parvum	MMETSP0007		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0007.fa.gz	
d__Eukaryota;l__Haptista;k__Haptista;p__Haptophyta;c__Haptophyta;o__Prymnesiales;f__Prymnesiaceae;g__Prymnesium;s__Prymnesium parvum	MMETSP0008		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0008.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Fragilariophyceae;o__Rhabdonematales;f__Grammatophoraceae;g__Grammatophora;s__Grammatophora oceanica	MMETSP0009		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0009.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Coscinodiscophyceae;o__Corethrales;f__Corethraceae;g__Corethron;s__Corethron hystrix	MMETSP0010		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0010.fa.gz	
d__Eukaryota;l__Rhodophyta;k__Rhodophyta;p__Rhodophyta;c__Stylonematophyceae;o__Stylonematales;f__Stylonemataceae;g__Rhodosorus;s__Rhodosorus marinus	MMETSP0011		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0011.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Skeletonemataceae;g__Skeletonema;s__Skeletonema costatum	MMETSP0013		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0013.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Bacillariophyceae;o__Bacillariales;f__Bacillariaceae;g__Nitzschia;s__Nitzschia sp. RCC80	MMETSP0014		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0014.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Mediophyceae;o__Eupodiscales;f__Odontellaceae;g__Odontella;s__Odontella aurita	MMETSP0015		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0015.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Bacillariophyta;c__Bacillariophyceae;o__Bacillariales;f__Bacillariaceae;g__Cylindrotheca;s__Cylindrotheca closterium	MMETSP0017		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0017.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Philasterida;f__Uronematidae;g__Uronema;s__Uronema sp.	MMETSP0018		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0018.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Stramenopiles;c__Chrysophyceae;o__Chromulinales;f__Dinobryaceae;g__Dinobryon;s__Dinobryon sp. UTEXLB2267	MMETSP0019		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0019.fa.gz	
d__Eukaryota;l__Sar;k__Stramenopiles;p__Stramenopiles;c__Chrysophyceae;o__Chromulinales;f__Dinobryaceae;g__Dinobryon;s__Dinobryon sp. UTEXLB2267	MMETSP0020		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0020.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Gymnodiniales;f__Kareniaceae;g__Karenia;s__Karenia brevis	MMETSP0027		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0027.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Gymnodiniales;f__Kareniaceae;g__Karenia;s__Karenia brevis	MMETSP0029		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0029.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Gymnodiniales;f__Kareniaceae;g__Karenia;s__Karenia brevis	MMETSP0030		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0030.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Gymnodiniales;f__Kareniaceae;g__Karenia;s__Karenia brevis	MMETSP0031		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0031.fa.gz	
d__Eukaryota;l__Viridiplantae;k__Viridiplantae;p__Chlorophyta;c__Mamiellophyceae;o__Dolichomastigales;f__Dolichomastigaceae;g__Dolichomastix;s__Dolichomastix tenuilepis	MMETSP0033		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0033.fa.gz	
d__Eukaryota;l__Viridiplantae;k__Viridiplantae;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales;f__Nephroselmidaceae;g__Nephroselmis;s__Nephroselmis pyriformis	MMETSP0034		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0034.fa.gz	
d__Eukaryota;l__Eukaryota;k__Eukaryota;p__Eukaryota;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadaceae;g__Cryptomonas;s__Cryptomonas paramecium	MMETSP0038		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0038.fa.gz	
d__Eukaryota;l__Discoba;k__Discoba;p__Euglenozoa;c__Euglenida;o__Eutreptiales;f__Eutreptiales;g__Eutreptiella;s__Eutreptiella gymnastica	MMETSP0039		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0039.fa.gz	
d__Eukaryota;l__Sar;k__Rhizaria;p__Cercozoa;c__Chlorarachniophyceae;o__Chlorarachniophyceae;f__Chlorarachniophyceae;g__Lotharella;s__Lotharella oceanica	MMETSP0040		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0040.fa.gz	
d__Eukaryota;l__Sar;k__Rhizaria;p__Cercozoa;c__Chlorarachniophyceae;o__Chlorarachniophyceae;f__Chlorarachniophyceae;g__Lotharella;s__Lotharella globosa	MMETSP0041		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0041.fa.gz	
d__Eukaryota;l__Sar;k__Rhizaria;p__Cercozoa;c__Chlorarachniophyceae;o__Chlorarachniophyceae;f__Chlorarachniophyceae;g__Amorphochlora;s__Amorphochlora amoebiformis	MMETSP0042		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0042.fa.gz	
d__Eukaryota;l__Eukaryota;k__Eukaryota;p__Eukaryota;c__Cryptophyceae;o__Cryptomonadales;f__Hemiselmidaceae;g__Hemiselmis;s__Hemiselmis andersenii	MMETSP0043		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0043.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Oxyrrhinales;f__Oxyrrhinaceae;g__Oxyrrhis;s__Oxyrrhis marina	MMETSP0044		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0044.fa.gz	
d__Eukaryota;l__Sar;k__Rhizaria;p__Cercozoa;c__Chlorarachniophyceae;o__Chlorarachniophyceae;f__Chlorarachniophyceae;g__Bigelowiella;s__Bigelowiella natans	MMETSP0045		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0045.fa.gz	
d__Eukaryota;l__Eukaryota;k__Eukaryota;p__Eukaryota;c__Cryptophyceae;o__Pyrenomonadales;f__Geminigeraceae;g__Guillardia;s__Guillardia theta	MMETSP0046		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0046.fa.gz	
d__Eukaryota;l__Eukaryota;k__Eukaryota;p__Eukaryota;c__Cryptophyceae;o__Pyrenomonadales;f__Chroomonadaceae;g__Chroomonas;s__Chroomonas mesostigmatica CCMP1168	MMETSP0047		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0047.fa.gz	
d__Eukaryota;l__Viridiplantae;k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlamydomonadaceae;g__Polytomella;s__Polytomella parva	MMETSP0052		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0052.fa.gz	
d__Eukaryota;l__Sar;k__Alveolata;p__Alveolata;c__Dinophyceae;o__Prorocentrales;f__Prorocentraceae;g__Prorocentrum;s__Prorocentrum minimum	MMETSP0053		/storage/hdd1/chh/TaxDB/user_supplied/MMETSP/mmetsp_fa_modified/MMETSP0053.fa.gz	
