taxon	accession	representative	src	dst
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae;g__Micromonas;s__Micromonas TARA_ANE_2018_MAG_00101	TARA_ANE_2018_MAG_00101		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_ANE_2018_MAG_00101.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Bathycoccaceae;g__Ostreococcus;s__Ostreococcus TARA_AON_82_MAG_00012	TARA_AON_82_MAG_00012		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00012.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae;g__Micromonas;s__Micromonas TARA_AON_82_MAG_00097	TARA_AON_82_MAG_00097		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00097.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae;g__Micromonas;s__Micromonas TARA_AON_82_MAG_00118	TARA_AON_82_MAG_00118		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00118.fa.gz	
d__Eukaryota;p__Oomycota;c__Oomycota;o__New_Oomycota;f__New_Oomycota;g__New_Oomycota;s__New_Oomycota TARA_AON_82_MAG_00125	TARA_AON_82_MAG_00125		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00125.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00137	TARA_AON_82_MAG_00137		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00137.fa.gz	
d__Eukaryota;p__Bacillariophyta;c__Bacillariophyceae;o__Bacillariales;f__Bacillariaceae;g__Cylindrotheca;s__Cylindrotheca TARA_AON_82_MAG_00159	TARA_AON_82_MAG_00159		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00159.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00160	TARA_AON_82_MAG_00160		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00160.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Chlorophyta;o__Chlorophyta;f__Pycnococcaceae;g__Pycnococcus;s__Pycnococcus TARA_AON_82_MAG_00189	TARA_AON_82_MAG_00189		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00189.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae;f__Trebouxiophyceae;g__Picochlorum;s__Picochlorum TARA_AON_82_MAG_00198	TARA_AON_82_MAG_00198		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00198.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Chloropicophyceae;o__Chloropicales;f__Chloropicaceae;g__Chloropicon;s__Chloropicon TARA_AON_82_MAG_00229	TARA_AON_82_MAG_00229		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00229.fa.gz	
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Bathycoccaceae;g__Bathycoccus;s__Bathycoccus TARA_AON_82_MAG_00271	TARA_AON_82_MAG_00271		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00271.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00272	TARA_AON_82_MAG_00272		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00272.fa.gz	
d__Eukaryota;p__Eukaryota;c__Pelagophyceae;o__Pelagomonadales;f__Pelagomonadales;g__Aureococcus;s__Aureococcus TARA_AON_82_MAG_00274	TARA_AON_82_MAG_00274		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00274.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00275	TARA_AON_82_MAG_00275		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00275.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00276	TARA_AON_82_MAG_00276		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00276.fa.gz	
d__Eukaryota;p__Haptista;c__Haptophyta;o__Prymnesiales;f__Chrysochromulinaceae;g__New_Chrysochromulinaceae_01;s__New_Chrysochromulinaceae_01 TARA_AON_82_MAG_00278	TARA_AON_82_MAG_00278		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00278.fa.gz	
d__Eukaryota;p__Eukaryota;c__Chrysophyceae;o__New_Chrysophyceae;f__New_Chrysophyceae;g__New_Chrysophyceae;s__New_Chrysophyceae TARA_AON_82_MAG_00280	TARA_AON_82_MAG_00280		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00280.fa.gz	
d__Eukaryota;p__Eukaryota;c__New_MAST-4;o__New_MAST-4;f__New_MAST-4;g__New_MAST-4;s__New_MAST-4 TARA_AON_82_MAG_00281	TARA_AON_82_MAG_00281		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00281.fa.gz	
d__Eukaryota;p__Haptista;c__Haptophyta;o__Prymnesiales;f__Chrysochromulinaceae;g__New_Chrysochromulinaceae_01;s__New_Chrysochromulinaceae_01 TARA_AON_82_MAG_00283	TARA_AON_82_MAG_00283		/storage/hdd1/chh/TaxDB/user_supplied/TARA_SMAGs/Contigs/TARA_AON_82_MAG_00283.fa.gz	
