taxon	accession	representative	src	dst
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__AAA536-G10;g__AG-426-I14;s__AG-426-I14 TARA_ANE_MAG_00001	TARA_ANE_MAG_00001		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00001.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA9664;s__UBA9664 sp002699085	TARA_ANE_MAG_00008		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00008.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella;s__Martelella mediterranea	TARA_ANE_MAG_00009		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00009.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA8316;s__UBA8316 TARA_ANE_MAG_00010	TARA_ANE_MAG_00010		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00010.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;Rickettsiales;Rickettsiales;s__Rickettsiales TARA_ANE_MAG_00011	TARA_ANE_MAG_00011		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00011.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA1144;f__UBA1144;g__TMED126;s__TMED126 TARA_ANE_MAG_00014	TARA_ANE_MAG_00014		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00014.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2701885;f__GCA-2701885;GCA-2701885;s__GCA-2701885 TARA_ANE_MAG_00016	TARA_ANE_MAG_00016		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00016.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;Pelagibacteraceae;s__Pelagibacteraceae TARA_ANE_MAG_00017	TARA_ANE_MAG_00017		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00017.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__CACOMS01;s__CACOMS01 sp902628375	TARA_ANE_MAG_00018		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00018.fa.gz	
d__Bacteria;l__Bacteria;k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA11663;s__UBA11663 sp002863145	TARA_ANE_MAG_00025		/storage/hdd1/chh/TaxDB/user_supplied/TARA_MAGs/1888MAGs_Bac_Arc/00_FASTA_original/TARA_ANE_MAG_00025.fa.gz	
